City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,ola,59.5833,151.2833,-4.26,89,99,3.81,RU,1729896094
340,sao felix do xingu,-6.6447,-51.995,28.55,49,59,0.45,BR,1729896095
341,colby,39.3958,-101.0524,17.22,31,0,4.12,US,1729895856
342,urangan,-25.3,152.9,22.8,58,33,3.09,AU,1729896097
343,sansanne-mango,10.3592,0.4708,26.21,67,89,2.11,TG,1729896099
344,st. john's,47.5649,-52.7093,17.53,99,100,8.75,CA,1729895803
345,kota bharu,6.1333,102.2386,23.97,94,40,1.03,MY,1729896101
346,khanty-mansiysk,61.0042,69.0019,2.06,100,0,2.0,RU,1729896102
347,tutoia,-2.7619,-42.2744,26.22,81,83,6.73,BR,1729896103
348,vilyuysk,63.7553,121.6247,-21.41,100,96,0.74,RU,1729896104
349,cidreira,-30.1811,-50.2056,18.69,87,0,2.38,BR,1729896106
350,kampong thom,12.7111,104.8887,25.0,74,96,1.85,KH,1729896107
351,kamina,-8.7386,24.9906,18.63,92,100,3.09,CD,1729896109
352,mudanjiang,44.5833,129.6,3.61,66,94,1.97,CN,1729896110
353,ad dabbah,18.05,30.95,22.2,12,39,5.3,SD,1729896112
354,puerto lempira,15.2667,-83.7667,24.08,88,100,0.0,HN,1729896113
355,severo-yeniseyskiy,60.3725,93.0408,-0.39,99,100,0.66,RU,1729896114
356,germencik,37.8706,27.6028,10.81,56,0,1.51,TR,1729896116
357,bayt jala,31.7155,35.1879,18.17,22,0,0.89,PS,1729896117
358,vernon,50.2581,-119.2691,8.75,62,100,0.0,CA,1729896118
359,poronaysk,49.2167,143.1167,3.11,55,12,7.16,RU,1729896119
360,natal,-5.795,-35.2094,26.12,73,20,4.63,BR,1729895558
361,hasaki,35.7333,140.8333,20.88,68,100,6.1,JP,1729896121
362,goba,7.0167,39.9833,11.73,91,85,0.75,ET,1729896122
